id,severity,languages,id_ori
java.android.best-practice.manifest-usesCleartextTraffic-true,INFO,generic,java.android.best-practice.manifest-security-features.manifest-usesCleartextTraffic-true
java.android.best-practice.manifest-usesCleartextTraffic-ignored-by-nsc,INFO,generic,java.android.best-practice.manifest-security-features.manifest-usesCleartextTraffic-ignored-by-nsc
java.android.security.exported_activity,WARNING,generic,java.android.security.exported_activity.exported_activity
java.aws-lambda.security.tainted-sql-string,ERROR,java,java.aws-lambda.security.tainted-sql-string.tainted-sql-string
java.aws-lambda.security.tainted-sqli,WARNING,java,java.aws-lambda.security.tainted-sqli.tainted-sqli
java.java-jwt.security.java-jwt-hardcoded-secret,WARNING,java,java.java-jwt.security.jwt-hardcode.java-jwt-hardcoded-secret
java.java-jwt.security.java-jwt-none-alg,ERROR,java,java.java-jwt.security.jwt-none-alg.java-jwt-none-alg
java.java-jwt.security.audit.java-jwt-decode-without-verify,WARNING,java,java.java-jwt.security.audit.jwt-decode-without-verify.java-jwt-decode-without-verify
java.jax-rs.security.insecure-resteasy-deserialization,WARNING,java,java.jax-rs.security.insecure-resteasy.insecure-resteasy-deserialization
java.jax-rs.security.default-resteasy-provider-abuse,WARNING,java,java.jax-rs.security.insecure-resteasy.default-resteasy-provider-abuse
java.jax-rs.security.jax-rs-path-traversal,WARNING,java,java.jax-rs.security.jax-rs-path-traversal.jax-rs-path-traversal
java.jboss.security.seam-log-injection,ERROR,java,java.jboss.security.seam-log-injection.seam-log-injection
java.jboss.security.find-sql-string-concatenation,ERROR,java,java.jboss.security.session_sqli.find-sql-string-concatenation
java.jjwt.security.jjwt-none-alg,ERROR,java,java.jjwt.security.jwt-none-alg.jjwt-none-alg
java.lang.correctness.assignment-comparison,ERROR,java,java.lang.correctness.assignment-comparison.assignment-comparison
java.lang.correctness.eqeq,ERROR,java,java.lang.correctness.eqeq.eqeq
java.lang.correctness.hardcoded-conditional,ERROR,java,java.lang.correctness.hardcoded-conditional.hardcoded-conditional
java.lang.correctness.no-string-eqeq,WARNING,java,java.lang.correctness.no-string-eqeq.no-string-eqeq
java.lang.security.do-privileged-use,WARNING,java,java.lang.security.do-privileged-use.do-privileged-use
java.lang.security.httpservlet-path-traversal,ERROR,java,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal
java.lang.security.insecure-jms-deserialization,WARNING,java,java.lang.security.insecure-jms-deserialization.insecure-jms-deserialization
java.lang.security.jackson-unsafe-deserialization,WARNING,java,java.lang.security.jackson-unsafe-deserialization.jackson-unsafe-deserialization
java.lang.security.java-pattern-from-string-parameter,INFO,java,java.lang.security.java-pattern-from-string-parameter.java-pattern-from-string-parameter
java.lang.security.servletresponse-writer-xss,ERROR,java,java.lang.security.servletresponse-writer-xss.servletresponse-writer-xss
java.lang.security.use-snakeyaml-constructor,WARNING,java,java.lang.security.use-snakeyaml-constructor.use-snakeyaml-constructor
java.lang.security.xmlinputfactory-external-entities-enabled,ERROR,java,java.lang.security.xmlinputfactory-external-entities-enabled.xmlinputfactory-external-entities-enabled
java.lang.security.xmlinputfactory-possible-xxe,WARNING,java,java.lang.security.xmlinputfactory-possible-xxe.xmlinputfactory-possible-xxe
java.lang.security.audit.anonymous-ldap-bind,WARNING,java,java.lang.security.audit.anonymous-ldap-bind.anonymous-ldap-bind
java.lang.security.audit.bad-hexa-conversion,WARNING,java,java.lang.security.audit.bad-hexa-conversion.bad-hexa-conversion
java.lang.security.audit.blowfish-insufficient-key-size,WARNING,java,java.lang.security.audit.blowfish-insufficient-key-size.blowfish-insufficient-key-size
java.lang.security.audit.cbc-padding-oracle,WARNING,java,java.lang.security.audit.cbc-padding-oracle.cbc-padding-oracle
java.lang.security.audit.command-injection-formatted-runtime-call,ERROR,java,java.lang.security.audit.command-injection-formatted-runtime-call.command-injection-formatted-runtime-call
java.lang.security.audit.command-injection-process-builder,ERROR,java,java.lang.security.audit.command-injection-process-builder.command-injection-process-builder
java.lang.security.audit.cookie-missing-httponly,WARNING,java,java.lang.security.audit.cookie-missing-httponly.cookie-missing-httponly
java.lang.security.audit.cookie-missing-secure-flag,WARNING,java,java.lang.security.audit.cookie-missing-secure-flag.cookie-missing-secure-flag
java.lang.security.audit.crlf-injection-logs,WARNING,java,java.lang.security.audit.crlf-injection-logs.crlf-injection-logs
java.lang.security.audit.dangerous-groovy-shell,WARNING,java,java.lang.security.audit.dangerous-groovy-shell.dangerous-groovy-shell
java.lang.security.audit.el-injection,WARNING,java,java.lang.security.audit.el-injection.el-injection
java.lang.security.audit.formatted-sql-string,ERROR,java,java.lang.security.audit.formatted-sql-string.formatted-sql-string
java.lang.security.audit.http-response-splitting,INFO,java,java.lang.security.audit.http-response-splitting.http-response-splitting
java.lang.security.audit.insecure-smtp-connection,WARNING,java,java.lang.security.audit.insecure-smtp-connection.insecure-smtp-connection
