Method,IFA,R@15%,R@20%,R@25%,R@30%,E@15%R,E@20%R,E@25%R,E@30%R,PMI@15%,PMI@20%,PMI@25%,PMI@30%,Accuracy@5,Accuracy@10,Accuracy@15,Accuracy@20
AdaBoost,85.17570588235294,0.3446823529411765,0.4089058823529412,0.4640647058823529,0.5094235294117647,0.0568235294117647,0.0850588235294117,0.1181823529411764,0.1477,0.4086235294117647,0.4480647058823529,0.4908823529411765,0.5275,0.5107705882352941,0.5676294117647058,0.596664705882353,0.6571176470588235
Bagging,62.85,0.3644470588235294,0.4304823529411765,0.4829647058823529,0.5316882352941177,0.0608529411764705,0.0832,0.1157117647058823,0.1437823529411764,0.4277588235294118,0.4561647058823529,0.5185411764705883,0.5564529411764706,0.5375823529411764,0.5901941176470589,0.6647117647058823,0.7088294117647059
Balanced Bagging,55.15100588235294,0.3715941176470588,0.4339117647058823,0.4877823529411765,0.5324764705882352,0.0502411764705882,0.072335294117647,0.1097058823529411,0.1412882352941176,0.4252117647058823,0.4755470588235294,0.5114,0.5537117647058823,0.5450294117647059,0.6038529411764706,0.6538529411764706,0.6783705882352941
Balanced Random Forest,67.83175294117646,0.3512294117647059,0.4098294117647059,0.4693235294117647,0.5131705882352942,0.0572470588235294,0.0750529411764705,0.1110647058823529,0.1416235294117647,0.4532529411764706,0.4993882352941176,0.5350882352941175,0.5654823529411764,0.5721058823529411,0.6662235294117647,0.7495588235294117,0.7598058823529412
Naive Bayes,58.277747058823536,0.3542117647058824,0.4220941176470588,0.4740117647058823,0.5135470588235294,0.0557117647058823,0.0838,0.1139058823529411,0.1444588235294117,0.3712411764705882,0.4066176470588235,0.4419882352941176,0.5200705882352942,0.6028764705882353,0.6626764705882353,0.6891470588235294,0.7626764705882353
Extra Trees,82.02421176470588,0.3599294117647059,0.4225411764705882,0.4827764705882353,0.5227882352941177,0.0628,0.0856235294117647,0.1128294117647058,0.1432764705882353,0.3919294117647058,0.4401176470588235,0.4911764705882352,0.5358235294117647,0.5024294117647059,0.6451941176470588,0.7442117647058824,0.7706823529411765
Gradient Boosting,58.41524117647059,0.3520941176470588,0.4209294117647059,0.4711529411764706,0.5153705882352941,0.058235294117647,0.0840764705882353,0.1195882352941176,0.1476058823529411,0.4208411764705882,0.4570705882352941,0.4948294117647059,0.5309764705882353,0.6948294117647058,0.7007117647058824,0.7154176470588236,0.7572470588235295
LightGBM,93.52340588235292,0.3545823529411764,0.4166647058823529,0.4692764705882353,0.5134235294117646,0.0605058823529411,0.0875823529411764,0.1202176470588235,0.1476176470588235,0.3777941176470588,0.4163529411764706,0.4715764705882352,0.517035294117647,0.5086352941176471,0.5837529411764706,0.6691647058823529,0.7044588235294117
Logistic Regression,117.30431764705884,0.3480235294117647,0.4104117647058823,0.4673882352941176,0.5029882352941177,0.0582764705882353,0.0801058823529411,0.116335294117647,0.1531411764705882,0.4205588235294117,0.4658,0.5038588235294118,0.5375235294117647,0.4869117647058823,0.5339705882352942,0.5895235294117648,0.6434470588235294
Pearson,41.60947647058824,0.3734529411764706,0.4333117647058823,0.4860117647058823,0.5373941176470588,0.0489294117647058,0.0709705882352941,0.1009705882352941,0.1302470588235294,0.4163705882352941,0.4416058823529412,0.4593117647058823,0.4828058823529411,0.6783647058823529,0.7533176470588235,0.7592,0.8088235294117647
Random Forest,118.3044176470588,0.3625235294117647,0.4250529411764706,0.4743588235294118,0.5243705882352941,0.0539117647058823,0.0859764705882353,0.1117,0.1407764705882353,0.3806588235294117,0.4244058823529412,0.4751764705882352,0.5273235294117647,0.5357588235294118,0.6097352941176472,0.6597352941176471,0.7003764705882353
XGBoost,53.64123529411764,0.3619235294117647,0.4205764705882353,0.484464705882353,0.527535294117647,0.0579470588235294,0.0763235294117647,0.108035294117647,0.143735294117647,0.4304,0.4774705882352941,0.5211764705882352,0.5602235294117647,0.6123000000000001,0.6475941176470589,0.7034764705882353,0.7191647058823529
deepseek-chat-Rank,1005.9283529411764,0.1808529411764705,0.2276764705882352,0.2945705882352941,0.3373882352941176,0.1582294117647058,0.2022999999999999,0.2562647058823529,0.2994235294117647,0.2160764705882353,0.2560705882352941,0.3020235294117647,0.3482647058823529,0.1158588235294117,0.1266470588235294,0.1615647058823529,0.2049235294117647
deepseek-chat-Score,955.2979,0.1811470588235294,0.2280117647058823,0.2948470588235294,0.3376823529411764,0.1582235294117647,0.201635294117647,0.2560294117647059,0.2985470588235294,0.2198529411764706,0.2598411764705882,0.3055411764705882,0.3515529411764705,0.1893705882352941,0.2479529411764706,0.2832470588235294,0.3662764705882353
deepseek-reasoner-Rank,891.0966941176471,0.1810176470588235,0.2275941176470588,0.2946294117647059,0.3376,0.1581176470588235,0.2024411764705882,0.2558529411764705,0.2994941176470588,0.2171294117647058,0.2571176470588235,0.3029470588235294,0.3491176470588235,0.0189529411764705,0.0733882352941176,0.1086823529411764,0.1679529411764705
deepseek-reasoner-Score,1594.4073647058824,0.177435294117647,0.2272117647058823,0.2893705882352941,0.3326235294117647,0.1611117647058823,0.2035882352941176,0.2597588235294117,0.2995882352941176,0.1615823529411764,0.2056941176470588,0.2528588235294118,0.3060117647058823,0.1934647058823529,0.3539411764705882,0.3994823529411764,0.404835294117647
