project,ifa_orig,recall@20_orig,effort@20%R_orig,hit@10_orig,pmi@20_orig,ifa_ranked,recall@20_ranked,effort@20%R_ranked,hit@10_ranked,pmi@20_ranked
ambari,305.0,0.4105314480741102,0.046485253744662655,0.0,0.28814669286182054,31.0,0.3803022915650902,0.09998574642266195,0.0,0.1922069417157826
amq,3468.0,0.35984481086323955,0.10026997203861028,0.0,0.1841876629018245,104.0,0.5169738118331717,0.034217884576240316,0.0,0.1894005212858384
bookkeeper,135.0,0.2868462757527734,0.05724407363263144,0.0,0.17094017094017094,425.0,0.21077654516640254,0.16626936829559,0.0,0.3247863247863248
calcite,348.0,0.28667292980807946,0.06802122142988933,0.0,0.20205920205920205,25.0,0.30210709971815863,0.11371073986916257,0.0,0.20205920205920205
cassandra,209.0,0.0023952095808383233,0.5727981731454265,0.0,0.01346389228886169,194.0,0.21317365269461078,0.12408645476034329,0.0,0.2692778457772338
groovy,3985.0,0.08149882903981265,0.2960626045519559,0.0,0.24494745351657235,128.0,0.5615925058548009,0.05210031280875151,0.0,0.23767178658043653
hbase,1040.0,0.22086167800453516,0.13662460452218952,0.0,0.4397370343316289,37.0,0.5346938775510204,0.058828469516142824,0.0,0.32140248356464574
hive,11526.0,0.14421669106881405,0.4823355415965446,0.0,0.20893098782138025,209.0,0.4493411420204978,0.09442189657852483,0.0,0.32719891745602164
log4j2,380.0,0.09745222929936306,0.3741233585035066,0.0,0.1594059405940594,15.0,0.34968152866242036,0.032920703868317185,0.0,0.13762376237623763
mahout,1051.0,0.011848341232227487,0.4701341652830593,0.0,0.22713864306784662,335.0,0.2037914691943128,0.14505114884044776,0.0,0.24385447394296952
mng,2781.0,0.0967741935483871,0.5205326640172907,0.0,0.20114122681883023,78.0,0.28225806451612906,0.11616418163165705,0.0,0.1783166904422254
nifi,18.0,0.2715080971659919,0.14860627519707031,0.0,0.2718526663001649,11.0,0.3775303643724696,0.09064788259838347,0.0,0.2262231995601979
nutch,2155.0,0.30786516853932583,0.14134271050148026,0.0,0.147239263803681,355.0,0.3797752808988764,0.16931907796925702,0.0,0.2556237218813906
storm,22579.0,0.32413793103448274,0.09666338298486675,0.0,0.3614637789395071,262.0,0.5241379310344828,0.05450345635817042,0.0,0.17923823749066467
tika,185.0,0.034653465346534656,0.6512823499072449,0.0,0.22804532577903683,10.0,0.5247524752475248,0.036453177382725084,0.0,0.29745042492917845
ww,7204.0,0.1809775429326288,0.20007823668044664,0.0,0.2376237623762376,213.0,0.24834874504623514,0.13552814588726192,0.0,0.19306930693069307
zookeeper,10659.0,0.004132231404958678,0.42521201075853554,0.0,0.30517711171662126,437.0,0.4132231404958678,0.04979497053160687,0.0,0.28610354223433243
MEAN_ACROSS_PROJECTS,4001.6470588235293,0.18365982780565313,0.28163627049973006,0.0,0.22891181271279096,168.76470588235293,0.38073293681600423,0.09258844811148495,0.0,0.23891219900078678
