project,ifa_orig,recall@20_orig,effort@20%R_orig,hit@10_orig,pmi@20_orig,ifa_ranked,recall@20_ranked,effort@20%R_ranked,hit@10_ranked,pmi@20_ranked
ambari,305.0,0.4105314480741102,0.046485253744662655,0.0,0.28814669286182054,308.0,0.3598244758654315,0.0870501085544187,0.0,0.1899148657498363
amq,3468.0,0.35984481086323955,0.10026997203861028,0.0,0.1841876629018245,918.0,0.545101842870999,0.06591817276067836,0.0,0.1789748045178106
bookkeeper,135.0,0.2868462757527734,0.05724407363263144,0.0,0.17094017094017094,499.0,0.2076069730586371,0.15360548271752086,0.0,0.3162393162393162
calcite,348.0,0.28667292980807946,0.06802122142988933,0.0,0.20205920205920205,22.0,0.2990202657361428,0.1265063945904128,0.0,0.19884169884169883
cassandra,209.0,0.0023952095808383233,0.5727981731454265,0.0,0.01346389228886169,3678.0,0.21317365269461078,0.11504654421582551,0.0,0.2582619339045288
groovy,3985.0,0.08149882903981265,0.2960626045519559,0.0,0.24494745351657235,446.0,0.5484777517564403,0.0573042805220375,0.0,0.23362974939369444
hbase,1040.0,0.22086167800453516,0.13662460452218952,0.0,0.4397370343316289,572.0,0.5251700680272109,0.05379414387452207,0.0,0.3148283418553689
hive,11526.0,0.14421669106881405,0.4823355415965446,0.0,0.20893098782138025,1489.0,0.3953147877013177,0.10314383242238358,0.0,0.30365358592692826
log4j2,380.0,0.09745222929936306,0.3741233585035066,0.0,0.1594059405940594,482.0,0.3070063694267516,0.058438283766246865,0.0,0.13267326732673268
mahout,1051.0,0.011848341232227487,0.4701341652830593,0.0,0.22713864306784662,191.0,0.2014218009478673,0.11864656419045579,0.0,0.23107177974434612
mng,2781.0,0.0967741935483871,0.5205326640172907,0.0,0.20114122681883023,168.0,0.2661290322580645,0.12030756665770262,0.0,0.17403708987161198
nifi,18.0,0.2715080971659919,0.14860627519707031,0.0,0.2718526663001649,850.0,0.3431174089068826,0.1045092828728631,0.0,0.2199010445299615
nutch,2155.0,0.30786516853932583,0.14134271050148026,0.0,0.147239263803681,492.0,0.38202247191011235,0.11619759279130198,0.0,0.2965235173824131
storm,22579.0,0.32413793103448274,0.09666338298486675,0.0,0.3614637789395071,893.0,0.5241379310344828,0.055119146695653654,0.0,0.16878267363704258
tika,185.0,0.034653465346534656,0.6512823499072449,0.0,0.22804532577903683,14.0,0.5108910891089109,0.0838705920521758,0.0,0.29461756373937675
ww,7204.0,0.1809775429326288,0.20007823668044664,0.0,0.2376237623762376,332.0,0.22060766182298547,0.12286056484951513,0.0,0.19024045261669023
zookeeper,10659.0,0.004132231404958678,0.42521201075853554,0.0,0.30517711171662126,1358.0,0.40082644628099173,0.06469818780405356,0.0,0.2779291553133515
MEAN_ACROSS_PROJECTS,4001.6470588235293,0.18365982780565313,0.28163627049973006,0.0,0.22891181271279096,747.7647058823529,0.36763823702399057,0.09453039654928046,0.0,0.2341247553288652
