project,ifa_orig,recall@20_orig,effort@20%R_orig,hit@10_orig,pmi@20_orig,ifa_ranked,recall@20_ranked,effort@20%R_ranked,hit@10_ranked,pmi@20_ranked
ambari,305.0,0.4105314480741102,0.046485253744662655,0.0,0.28814669286182054,214.0,0.26621160409556316,0.1543187306466373,0.0,0.40962671905697445
amq,3468.0,0.35984481086323955,0.10026997203861028,0.0,0.1841876629018245,213.0,0.4859359844810863,0.05001981937585036,0.0,0.38097306689834926
bookkeeper,135.0,0.2868462757527734,0.05724407363263144,0.0,0.17094017094017094,10.0,0.1600633914421553,0.24937094424579526,0.0,0.17094017094017094
calcite,348.0,0.28667292980807946,0.06802122142988933,0.0,0.20205920205920205,642.0,0.3104281304522883,0.11035402498276325,0.0,0.055341055341055344
cassandra,209.0,0.0023952095808383233,0.5727981731454265,0.0,0.01346389228886169,7774.0,0.2407185628742515,0.13738682418883788,0.0,0.3929008567931457
groovy,3985.0,0.08149882903981265,0.2960626045519559,0.0,0.24494745351657235,231.0,0.18313817330210772,0.24316689434768496,0.0,0.12853678253839934
hbase,1040.0,0.22086167800453516,0.13662460452218952,0.0,0.4397370343316289,61.0,0.07573696145124717,0.3490542125258053,0.0,0.13221329437545654
hive,11526.0,0.14421669106881405,0.4823355415965446,0.0,0.20893098782138025,253.0,0.3257686676427526,0.14721714807882896,0.0,0.13937753721244925
log4j2,380.0,0.09745222929936306,0.3741233585035066,0.0,0.1594059405940594,85.0,0.26560509554140127,0.14474754742100981,0.0,0.5485148514851486
mahout,1051.0,0.011848341232227487,0.4701341652830593,0.0,0.22713864306784662,4828.0,0.1646919431279621,0.36055915591023513,0.0,0.7640117994100295
mng,2781.0,0.0967741935483871,0.5205326640172907,0.0,0.20114122681883023,1605.0,0.4032258064516129,0.07986972241312337,0.0,0.28815977175463625
nifi,18.0,0.2715080971659919,0.14860627519707031,0.0,0.2718526663001649,73.0,0.30870445344129555,0.13964553221031065,0.0,0.25810885101704234
nutch,2155.0,0.30786516853932583,0.14134271050148026,0.0,0.147239263803681,416.0,0.42247191011235957,0.13534408087807526,0.0,0.5501022494887525
storm,22579.0,0.32413793103448274,0.09666338298486675,0.0,0.3614637789395071,30278.0,0.6413793103448275,0.12887460298588582,0.0,0.292755787901419
tika,185.0,0.034653465346534656,0.6512823499072449,0.0,0.22804532577903683,4189.0,0.22277227722772278,0.13307655832757948,0.0,0.8498583569405099
ww,7204.0,0.1809775429326288,0.20007823668044664,0.0,0.2376237623762376,127.0,0.44517833553500663,0.16343739133794383,0.0,0.4200848656294201
zookeeper,10659.0,0.004132231404958678,0.42521201075853554,0.0,0.30517711171662126,164.0,0.28512396694214875,0.12573670982818677,0.0,0.17438692098092642
MEAN_ACROSS_PROJECTS,4001.6470588235293,0.18365982780565313,0.28163627049973006,0.0,0.22891181271279096,3009.5882352941176,0.30630321026269347,0.1677752882179149,0.0,0.35034664339787563
